"ID.NEW"	"TAXANAME"	"ABUND"
"EPA01-0209-2003-1"	"ACENTRELLA INSIGNIFICANS"	20
"EPA01-0209-2003-1"	"ARGIA SP."	5
"EPA01-0209-2003-1"	"BAETIS NOTOS"	5
"EPA01-0209-2003-1"	"BAETIS TRICAUDATUS"	6
"EPA01-0209-2003-1"	"CAMBARIDAE"	2
"EPA01-0209-2003-1"	"CHEUMATOPSYCHE SP."	3
"EPA01-0209-2003-1"	"CHIMARRA SP."	1
"EPA01-0209-2003-1"	"CORYDALUS SP."	2
"EPA01-0209-2003-1"	"CRICOTOPUS SP."	11
"EPA01-0209-2003-1"	"FALLCEON QUILLERI"	24
"EPA01-0209-2003-1"	"HEMERODROMIA SP."	4
"EPA01-0209-2003-1"	"HYDROPSYCHE SP."	103
"EPA01-0209-2003-1"	"HYDROPSYCHIDAE"	2
"EPA01-0209-2003-1"	"ISONYCHIA SP."	2
"EPA01-0209-2003-1"	"LEPTOHYPHES SP."	3
"EPA01-0209-2003-1"	"LEPTOHYPHIDAE"	1
"EPA01-0209-2003-1"	"LIBELLULIDAE"	3
"EPA01-0209-2003-1"	"MICROCYLLOEPUS SP."	4
"EPA01-0209-2003-1"	"NEMATODA"	1
"EPA01-0209-2003-1"	"OCHROTRICHIA SP."	6
"EPA01-0209-2003-1"	"OLIGOCHAETA"	30
"EPA01-0209-2003-1"	"ORCONECTES SP."	6
"EPA01-0209-2003-1"	"ORTHOCLADIINAE"	1
"EPA01-0209-2003-1"	"ORTHOCLADIUS COMPLEX"	1
"EPA01-0209-2003-1"	"PHYSA SP."	2
"EPA01-0209-2003-1"	"POLYPEDILUM SP."	3
"EPA01-0209-2003-1"	"PROGOMPHUS SP."	2
"EPA01-0209-2003-1"	"PSEPHENUS SP."	6
"EPA01-0209-2003-1"	"RHEOCRICOTOPUS SP."	3
"EPA01-0209-2003-1"	"RHEOTANYTARSUS SP."	2
"EPA01-0209-2003-1"	"SPERCHON SP."	6
"EPA01-0209-2003-1"	"TABANIDAE"	5
"EPA01-0209-2003-1"	"TANYTARSUS SP."	4
"EPA01-0209-2003-1"	"TRAVERELLA ALBERTANA"	10
"EPA01-0209-2003-1"	"TURBELLARIA"	1
"EPA01-0210-2003-1"	"ACARI"	3
"EPA01-0210-2003-1"	"ACENTRELLA SP."	5
"EPA01-0210-2003-1"	"AMBRYSUS SP."	3
"EPA01-0210-2003-1"	"ARGIA SP."	2
"EPA01-0210-2003-1"	"ATRACTIDES SP."	1
"EPA01-0210-2003-1"	"ATRICHOPOGON SP."	1
"EPA01-0210-2003-1"	"BAETIDAE"	1
"EPA01-0210-2003-1"	"BAETIS NOTOS"	6
"EPA01-0210-2003-1"	"BAETIS SP."	3
"EPA01-0210-2003-1"	"BEZZIA/PALPOMYIA SP."	2
"EPA01-0210-2003-1"	"CAENIS BAJAENSIS"	4
"EPA01-0210-2003-1"	"CAMELOBAETIDIUS SP."	1
"EPA01-0210-2003-1"	"CHEUMATOPSYCHE SP."	12
"EPA01-0210-2003-1"	"CHOROTERPES SP."	124
"EPA01-0210-2003-1"	"CLADOTANYTARSUS SP."	8
"EPA01-0210-2003-1"	"CORIXIDAE"	6
"EPA01-0210-2003-1"	"CORYDALUS SP."	2
"EPA01-0210-2003-1"	"CULOPTILA SP."	26
"EPA01-0210-2003-1"	"CYPHOMELLA SP."	1
"EPA01-0210-2003-1"	"ELMIDAE"	1
"EPA01-0210-2003-1"	"FALLCEON QUILLERI"	7
"EPA01-0210-2003-1"	"GLOSSOSOMATIDAE"	4
"EPA01-0210-2003-1"	"GOMPHIDAE"	1
"EPA01-0210-2003-1"	"HELICOPSYCHE SP."	32
"EPA01-0210-2003-1"	"HEMERODROMIA SP."	1
"EPA01-0210-2003-1"	"HEPTAGENIIDAE"	2
"EPA01-0210-2003-1"	"HOMOLEPTOHYPHES SP."	66
"EPA01-0210-2003-1"	"HYDROPSYCHE SP."	2
"EPA01-0210-2003-1"	"HYDROPTILA SP."	2
"EPA01-0210-2003-1"	"LEBERTIA SP."	4
"EPA01-0210-2003-1"	"LEPTOHYPHES SP."	6
"EPA01-0210-2003-1"	"LEPTOHYPHIDAE"	17
"EPA01-0210-2003-1"	"LEPTOPHLEBIIDAE"	19
"EPA01-0210-2003-1"	"LIBELLULIDAE"	3
"EPA01-0210-2003-1"	"MICROCYLLOEPUS SP."	40
"EPA01-0210-2003-1"	"NECTOPSYCHE SP."	1
"EPA01-0210-2003-1"	"NEOTRICHIA SP."	1
"EPA01-0210-2003-1"	"OCHROTRICHIA SP."	10
