"SVN"	"Taxon"	"CountValue"
"1"	"01042WSE"	"Branchiobdellida"	2
"2"	"99004SPS"	"Chironominae"	191
"3"	"99005SPS"	"Chironominae"	50
"4"	"99006SPS"	"Chironominae"	17
"5"	"99001SPS"	"Chironominae"	4
"6"	"99003SPS"	"Chironominae"	13
"7"	"00002SPS"	"Chironominae"	7
"8"	"00001SPS"	"Chironominae"	3
"9"	"99019CSR"	"Chironomini"	3
"10"	"99018CSR"	"Chironomini"	33
"11"	"99061CSR"	"Chironomini"	2
"12"	"99028CSR"	"Chironomini"	1
"13"	"00043CSR"	"Chironomini"	2
"14"	"99031CSR"	"Chironomini"	1
"15"	"00008CSR"	"Chironomini"	63
"16"	"99021CSR"	"Chironomini"	5
"17"	"99039CSR"	"Chironomini"	1
"18"	"99017CSR"	"Chironomini"	30
"19"	"99009CSR"	"Chironomini"	3
"20"	"99062CSR"	"Chironomini"	1
"21"	"99016CSR"	"Chironomini"	13
"22"	"00028CSR"	"Chironomini"	41
"23"	"99049CSR"	"Chironomini"	6
"24"	"99068CSR"	"Chironomini"	6
"25"	"99055CSR"	"Chironomini"	13
"26"	"00063CSR"	"Chironomini"	12
"27"	"99070CSR"	"Chironomini"	2
"28"	"99072CSR"	"Chironomini"	2
"29"	"99059CSR"	"Chironomini"	7
"30"	"00029CSR"	"Chironomini"	66
"31"	"99057CSR"	"Chironomini"	1
"32"	"99026CSR"	"Chironomini"	14
"33"	"99042CSR"	"Chironomini"	19
"34"	"99004CSR"	"Chironomini"	1
"35"	"01004CSR"	"Chironomini"	5
"36"	"99020CSR"	"Chironomini"	3
"37"	"00001CSR"	"Chironomini"	57
"38"	"99041CSR"	"Chironomini"	44
"39"	"99051CSR"	"Chironomini"	12
"40"	"99053CSR"	"Chironomini"	22
"41"	"99040CSR"	"Chironomini"	7
"42"	"99001CSR"	"Chironomini"	1
"43"	"99002CSR"	"Chironomini"	2
"44"	"99063CSR"	"Chironomini"	1
"45"	"00105CSR"	"Chironomini"	4
"46"	"99012CSR"	"Chironomini"	14
"47"	"99071CSR"	"Chironomini"	6
"48"	"99046CSR"	"Chironomini"	11
"49"	"99032CSR"	"Chironomini"	11
"50"	"99034CSR"	"Chironomini"	28
"51"	"99038CSR"	"Chironomini"	15
"52"	"99022CSR"	"Chironomini"	4
